Pf,Pc
7.459552516604111422e-03,9.324735244400392947e-03
6.310748806346317963e-01,6.406786936056962922e-01
1.017003368657494744e-01,8.011988530497074490e-02
5.516756449249184992e-03,4.496276700101406107e-03
2.930378039321514527e-01,2.958608934080350639e-01
6.113041816089893887e-02,4.348297047560953366e-02
2.825389142116604413e-01,2.917597633231842624e-01
6.649755695568554392e-02,6.182500258126479714e-02
1.578768289505103409e-02,1.861972195220933102e-02
2.287591603626612743e-07,6.750761433613677387e-04
7.788477403160308336e-03,5.155663592242379703e-03
2.300538131891057946e-03,2.407878896605649549e-03
2.304776105185606105e-02,2.163786196622380711e-02
2.653957024971316005e-03,1.030604977628496672e-03
